,year,term,cluster,cluster_name,unique_cluster_name
0,2019,information,7,REAL WORLD,2019 7
1,2019,time,6,SPECIFIC LOCATION,2019 6
2,2019,globe_newswire,4,INDUSTRY LEADER,2019 4
3,2019,press_release,4,INDUSTRY LEADER,2019 4
4,2019,real_world,7,REAL WORLD,2019 7
5,2019,key_role,8,EMERGE TECHNOLOGY,2019 8
6,2019,artificial_intelligence,5,AI SYSTEM,2019 5
7,2019,machine_learning,5,AI SYSTEM,2019 5
8,2019,unblock_follow,2,INDEPENDENT RESEARCHER,2019 2
9,2019,co_founder,4,INDUSTRY LEADER,2019 4
10,2019,next_step,7,REAL WORLD,2019 7
11,2019,way,7,REAL WORLD,2019 7
12,2019,increase_demand,4,INDUSTRY LEADER,2019 4
13,2019,battery_life,7,REAL WORLD,2019 7
14,2019,important_part,8,EMERGE TECHNOLOGY,2019 8
15,2019,practice,4,INDUSTRY LEADER,2019 4
16,2019,industry_leader,4,INDUSTRY LEADER,2019 4
17,2019,side,6,SPECIFIC LOCATION,2019 6
18,2019,forecast_period,4,INDUSTRY LEADER,2019 4
19,2019,low_cost,8,EMERGE TECHNOLOGY,2019 8
20,2019,wide_variety,8,EMERGE TECHNOLOGY,2019 8
21,2019,blog_post,4,INDUSTRY LEADER,2019 4
22,2019,idea,7,REAL WORLD,2019 7
23,2019,grow_trend,8,EMERGE TECHNOLOGY,2019 8
24,2019,autonomous_vehicle,5,AI SYSTEM,2019 5
25,2019,food_industry,6,SPECIFIC LOCATION,2019 6
26,2019,emerge_technology,8,EMERGE TECHNOLOGY,2019 8
27,2019,recent_study,8,EMERGE TECHNOLOGY,2019 8
28,2019,broad_range,8,EMERGE TECHNOLOGY,2019 8
29,2019,ai_system,5,AI SYSTEM,2019 5
30,2019,people,7,REAL WORLD,2019 7
31,2019,intellectual_property,4,INDUSTRY LEADER,2019 4
32,2019,research_team,2,INDEPENDENT RESEARCHER,2019 2
33,2019,one_piece,7,REAL WORLD,2019 7
34,2019,computer_science,9,ELECTRICAL AND COMPUTER ENGINEERING,2019 9
35,2019,picture,7,REAL WORLD,2019 7
36,2019,data_scientist,5,AI SYSTEM,2019 5
37,2019,high_performance,8,EMERGE TECHNOLOGY,2019 8
38,2019,self_drive_car,5,AI SYSTEM,2019 5
39,2019,huge_amount,7,REAL WORLD,2019 7
40,2019,tech_giant,4,INDUSTRY LEADER,2019 4
41,2019,facial_recognition,7,REAL WORLD,2019 7
42,2019,deep_integration,8,EMERGE TECHNOLOGY,2019 8
43,2019,the_session,2,INDEPENDENT RESEARCHER,2019 2
44,2019,living_room,7,REAL WORLD,2019 7
45,2019,potential,8,EMERGE TECHNOLOGY,2019 8
46,2019,model,0,LARGE DATASET,2019 0
