,year,term,cluster_name,cluster,unique_cluster_name
0,2018,information,USER EXPERIENCE,2,2018 2
1,2018,globe_newswire,MYRIAD X,5,2018 5
2,2018,time,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
3,2018,news,USER EXPERIENCE,2,2018 2
4,2018,product,USER EXPERIENCE,2,2018 2
5,2018,mobile_device,USER EXPERIENCE,2,2018 2
6,2018,real_world,AUTONOMOUS VEHICLE,8,2018 8
7,2018,next_step,USER EXPERIENCE,2,2018 2
8,2018,robot,AUTONOMOUS VEHICLE,8,2018 8
9,2018,artificial_intelligence,CHALLENGING TASK,3,2018 3
10,2018,machine_learning,CHALLENGING TASK,3,2018 3
11,2018,large_amount,CHALLENGING TASK,3,2018 3
12,2018,video,"1,000 CATEGORY",1,2018 1
13,2018,research_team,CHALLENGING TASK,3,2018 3
14,2018,training_time,SEMANTIC SEGMENTATION,6,2018 6
15,2018,key_player,MYRIAD X,5,2018 5
16,2018,data,CHALLENGING TASK,3,2018 3
17,2018,paper,"1,000 CATEGORY",1,2018 1
18,2018,system,ADDITIONAL HARDWARE,4,2018 4
19,2018,android_app,USER EXPERIENCE,2,2018 2
20,2018,late_version,USER EXPERIENCE,2,2018 2
21,2018,blog_post,USER EXPERIENCE,2,2018 2
22,2018,wide_variety,CHALLENGING TASK,3,2018 3
23,2018,low_cost,ADDITIONAL HARDWARE,4,2018 4
24,2018,recent_study,CHALLENGING TASK,3,2018 3
25,2018,ai_algorithm,SEMANTIC SEGMENTATION,6,2018 6
26,2018,deep_understanding,CHALLENGING TASK,3,2018 3
27,2018,little_bit,USER EXPERIENCE,2,2018 2
28,2018,type,CHALLENGING TASK,3,2018 3
29,2018,broad_range,CHALLENGING TASK,3,2018 3
30,2018,market_growth,MYRIAD X,5,2018 5
31,2018,autonomous_vehicle,AUTONOMOUS VEHICLE,8,2018 8
32,2018,virtual_reality,AUTONOMOUS VEHICLE,8,2018 8
33,2018,computational_model,CHALLENGING TASK,3,2018 3
34,2018,social_network,USER EXPERIENCE,2,2018 2
35,2018,forecast_period,MYRIAD X,5,2018 5
36,2018,application,CHALLENGING TASK,3,2018 3
37,2018,emerge_technology,CHALLENGING TASK,3,2018 3
38,2018,right_direction,USER EXPERIENCE,2,2018 2
39,2018,self_drive_car,AUTONOMOUS VEHICLE,8,2018 8
40,2018,high_speed,ADDITIONAL HARDWARE,4,2018 4
41,2018,grow_demand,MYRIAD X,5,2018 5
42,2018,general_public,CHALLENGING TASK,3,2018 3
43,2018,three_part,CHALLENGING TASK,3,2018 3
44,2018,advance,CHALLENGING TASK,3,2018 3
45,2018,user_experience,USER EXPERIENCE,2,2018 2
46,2018,function,ADDITIONAL HARDWARE,4,2018 4
47,2018,the_session,"1,000 CATEGORY",1,2018 1
48,2018,hurdle,ADDITIONAL HARDWARE,4,2018 4
49,2018,computer_science,"1,000 CATEGORY",1,2018 1
50,2018,energy_efficiency,ADDITIONAL HARDWARE,4,2018 4
51,2018,power_consumption,ADDITIONAL HARDWARE,4,2018 4
52,2018,neural_network,SEMANTIC SEGMENTATION,6,2018 6
53,2018,stride,MYRIAD X,5,2018 5
54,2018,solar_panel,ADDITIONAL HARDWARE,4,2018 4
55,2018,performance,SEMANTIC SEGMENTATION,6,2018 6
56,2018,facial_recognition,AUTONOMOUS VEHICLE,8,2018 8
57,2018,original_content,"1,000 CATEGORY",1,2018 1
58,2018,3d_printing,AUTONOMOUS VEHICLE,8,2018 8
59,2018,specific_need,CHALLENGING TASK,3,2018 3
60,2018,software_development_kit,USER EXPERIENCE,2,2018 2
61,2018,early_development,CHALLENGING TASK,3,2018 3
62,2018,long_distance,ADDITIONAL HARDWARE,4,2018 4
63,2018,embed_vision,MYRIAD X,5,2018 5
64,2018,security_camera,AUTONOMOUS VEHICLE,8,2018 8
65,2018,convenience_store,BRICK AND MORTAR STORE,9,2018 9
66,2018,chief_scientist,"1,000 CATEGORY",1,2018 1
67,2018,natural_language_processing,CHALLENGING TASK,3,2018 3
68,2018,image_sensor,FRAME RATE,7,2018 7
69,2018,phone_interview,"1,000 CATEGORY",1,2018 1
70,2018,researcher,CHALLENGING TASK,3,2018 3
71,2018,recent_item,"1,000 CATEGORY",1,2018 1
72,2018,tech_firm,USER EXPERIENCE,2,2018 2
73,2018,computer_vision_application,SEMANTIC SEGMENTATION,6,2018 6
74,2018,bad_weather,ADDITIONAL HARDWARE,4,2018 4
75,2018,challenging_task,CHALLENGING TASK,3,2018 3
76,2018,multiple_resolution,SEMANTIC SEGMENTATION,6,2018 6
77,2018,cambridge_analytica_scandal,USER EXPERIENCE,2,2018 2
78,2018,the_rest,"1,000 CATEGORY",1,2018 1
79,2018,high_resolution_color_image,FRAME RATE,7,2018 7
80,2018,small_scale,ADDITIONAL HARDWARE,4,2018 4
81,2018,drug_discovery,CHALLENGING TASK,3,2018 3
82,2018,community,CHALLENGING TASK,3,2018 3
83,2018,edge_computing,CHALLENGING TASK,3,2018 3
84,2018,progress,CHALLENGING TASK,3,2018 3
85,2018,imagenet_competition,"1,000 CATEGORY",1,2018 1
86,2018,important_decision,CHALLENGING TASK,3,2018 3
87,2018,day,"1,000 CATEGORY",1,2018 1
88,2018,valuable_information,CHALLENGING TASK,3,2018 3
89,2018,traffic_light,AUTONOMOUS VEHICLE,8,2018 8
90,2018,vision_relate_news,"1,000 CATEGORY",1,2018 1
91,2018,sneak_peek,USER EXPERIENCE,2,2018 2
92,2018,4_k,FRAME RATE,7,2018 7
93,2018,smart_home_gadget,USER EXPERIENCE,2,2018 2
94,2018,brick_and_mortar_store,BRICK AND MORTAR STORE,9,2018 9
95,2018,three_dimensional_structure,ADDITIONAL HARDWARE,4,2018 4
96,2018,industrial_automation,CHALLENGING TASK,3,2018 3
97,2018,form_factor,USER EXPERIENCE,2,2018 2
98,2018,complete_set,CHALLENGING TASK,3,2018 3
99,2018,move_object,SEMANTIC SEGMENTATION,6,2018 6
100,2018,open_source_software,USER EXPERIENCE,2,2018 2
101,2018,walmart_shelf,BRICK AND MORTAR STORE,9,2018 9
102,2018,dataset,SEMANTIC SEGMENTATION,6,2018 6
103,2018,feature_extraction,SEMANTIC SEGMENTATION,6,2018 6
104,2018,unmanned_aerial_vehicle,ADDITIONAL HARDWARE,4,2018 4
105,2018,initial_phase,ADDITIONAL HARDWARE,4,2018 4
106,2018,frame_rate,FRAME RATE,7,2018 7
107,2018,sensitivity,ADDITIONAL HARDWARE,4,2018 4
108,2018,company_spokesperson,USER EXPERIENCE,2,2018 2
109,2018,multi_viewpoint_camera,FRAME RATE,7,2018 7
110,2018,unique_design,ADDITIONAL HARDWARE,4,2018 4
111,2018,enhance_capability,ADDITIONAL HARDWARE,4,2018 4
112,2018,next_generation_opportunity,"1,000 CATEGORY",1,2018 1
113,2018,electronic_industry,MYRIAD X,5,2018 5
114,2018,amazon_go,BRICK AND MORTAR STORE,9,2018 9
115,2018,instagram_photo,"1,000 CATEGORY",1,2018 1
116,2018,impressive_result,SEMANTIC SEGMENTATION,6,2018 6
